,0
0,NTV Kenya @ntvkenya
1,Uhuru Kenyatta @UKenyatta
2,Julius Kanyi @kanyicool
3,Jeff Koinange MBS @KoinangeJeff
4,Lempuris @majani_
5,Bob Collymore @bobcollymore
6,Dr Willy M Mutunga @WMutunga
7,Larry Madowo @LarryMadowo
8,Aly-Khan Satchu @alykhansatchu
9,Erik Hersman @whiteafrican
10,John-Allan Namu @johnallannamu
11,Yvonne Okwara @@YvonneOkwara
12,Robert Alai @RobertAlai
13,Dennis Itumbi @OleItumbi
14,Dan Ndambuki aka Churchill @MwalimChurchill
15,Carol Radull @CarolRadull
16,Gina Din @gina_din
17,Peter Nduati @PeterNduati
18,Bankelele @bankelele
19,Chris Kirubi @CKirubi
20,Oliver Mathenge @OliverMathenge
21,Mark Kaigwa @MKaigwa
22,Charles Onyango-Obbo @cobbo3
23,Patricia Kihoro @Misskihoro
24,Julie Gichuru @juliegichuru
25,Caroline Mutoko @CarolineMutoko
26,EKODYDDA @ekodydda01
27,Juliani @JulianiKenya
28,Maina Kageni @ItsMainaKageni
29,RAMpunzZyl @RamzZy_
30,The Trend Setter @xtiandela
31,NyaKundiH @C_NyaKundiH
32,CN @crazynairobian
33,Masaku @masaku_
34,Brian Mbunde @Brianmbunde
35,Comedy Central @ComedyCentralKE
36,SokoAnalyst @SokoAnalyst
37,JOEmeson @JoeWMuchiri
38,Naomi Mutua @AKenyanGirl
39,Deejay Eynie @Evabulence
40,Pat Nanyaro @PatNanyaro
41,Boniface Mwangi @bonifacemwangi
42,Ng’endo Machua @Ngendo87
43,Nancie Mwai @nanciemwai
44,Mutua Matheka @truthslinger
45,Comrade Mbasu @itsbuddhablaze
46,Sunny Bindra @sunnysunwords
47,Laura Walubengo @lwalubengo
48,Anne Kiguta @AnneKiguta
49,Teputy Kavanaa @DavidBurudi
50,mbithi
51,
52,"February 21, 2014"
53,@blogs_kenya?
54,Reply
55,Tuska
56,
57,"February 21, 2014"
58,What a horrid list most of those are just people in the media.  Try again!!!
59,Reply
60,Ogetembe
61,
62,"February 21, 2014"
63,how can @vinnieo be miising from that list
64,sema rigging
65,Reply
66,Stephen Machua
67,
68,"February 21, 2014"
69,I would like to know the parameters used to attain this list. I wouldn’t mind making it there next time.
70,Reply
71,Lyagamula
72,
73,"February 23, 2014"
74,Up comimg Make up artist and young enterprenure CEO of Lush Beauty Michelle Njoroge @mslushmakeup
75,Reply
76,Kiki
77,
78,"April 5, 2014"
79,I came across a kenyan newbie @PeterQuotlant and that guy already has 33k followers! who is he?
80,Reply
