,0
0,MaimunahSharif
1,smusyoka
2,yvejr1
3,Winnie_Odinga
4,Salomelugard
5,Olez
6,mohammedhersi
7,AUC_MoussaFaki
8,kenayabei
9,GovOjaamong
10,JubileePartyK
11,edwinsifuna
12,K24Tv
13,CoalitionNASAKe
14,dkmaraga
15,Ma3Route
16,StandardKenya
17,citizentvkenya
18,MutahiNgunyi
19,WilliamsRuto
20,MikeSonko
21,kwskenya
22,NelsonHavi
23,governorkibwana
24,EstherPassaris
25,SenMutula
26,orengo_james
27,RepKarenBass
28,RepChrisSmith
29,RepEliotEngel
30,DavidNdii
31,gathara
32,dailynation
33,amugira
34,BernieSanders
35,kipmurkomen
36,MusaliaMudavadi
37,Safaricom_Care
38,aaronramsey
39,Pontifex_pl
40,Pontifex_ln
41,SkySportsPL
42,Arsenal
43,WorldBankKenya
44,GovernorNanok
45,DennisOnyangoGM
46,Kipaton_
47,SimbaArati
48,IEBCKenya
49,AnyangNyongo
50,Nation_Counties
51,The_EastAfrican
52,Nation_Politics
53,TwitterGov
54,governorkingi
55,salimlone
56,enamara
57,BahatiKenya
58,PaulMMwangi
59,lindahoguttu
60,MohaJichoPevu
61,florence_mutua
62,Metknu
63,RealOmbatiEdwin
64,davidmakali1
65,CarolRadull
66,ClintonFdn
67,AlikoDangote
68,KBonimtetezi
69,TEACHERSinKENYA
70,melindagates
71,PeterMunya
72,DonaldKaberuka
73,gmachage
74,amnestyusa
75,BreakingNewsKE
76,gatesfoundation
77,UNESCO
78,WFP
79,UNHumanRights
80,hrw
81,RwandaGov
82,KipronoKittony
83,CecilyMbarire
84,UNICEF
85,UrugwiroVillage
86,KenyaGovernors
87,ketercharles
88,Pontifex
89,andrewsuleh
90,NBCNews
91,NdunguWainaina
92,BrandKenya
93,Nairobi_News
94,SABINACHEGE
95,washingtonpost
96,cnni
97,TheEconomist
98,KisumuCountyKE
99,nytimes
100,TIME
101,guardian
102,JudiWakhungu
103,VOAAfrica
104,BBCWorld
105,HudumaKenya
106,rsezibera
107,NEPAD_Agency
108,BBCAfrica
109,nduyamuthama
110,TomMboya
111,AUC_DPA
112,jumuiya
113,agnes_zani
114,bkerrow
115,DrMukhisaKituyi
116,_AfricanUnion
117,CarolineMutoko
118,ChelseaClinton
119,WanjikuRevolt
120,GovWOparanya
121,BillClinton
122,UgatuziKenya
123,FirstLadyKenya
124,jmkikwete
125,newvisionwire
126,StateHouseUg
127,AmamaMbabazi
128,SpeakerJBMuturi
129,Kandie_Phyllis
130,EACCKenya
131,KagutaMuseveni
132,SpeakerKLusaka
133,VinicioCerezo
134,JendayiFrazer
135,MikeOkinyi
136,Lupita_Nyongo
137,USAmbKenya
138,SenJanetOngera
139,kabetes
140,JamesOngwae
141,MwangiWaIria
142,PeopleDailyKe
143,NationMediaGrp
144,KofiAnnan
145,KBCChannel1
146,HillaryClinton
147,KenyaAirports
148,Forbes
149,ReutersAfrica
150,NationBreaking
151,AreroWario
152,AumaObama
153,MacOtani
154,FredMatiangi
155,Lit360KE_
156,FLOTUS
157,FLOTUS44
158,LinusKaikai
159,DonaldBKipkorir
160,MyKenyaLaw
161,InteriorKE
162,WillisRaburu
163,ForeignOfficeKE
164,JBoinnet
165,IGkimaiyo
166,AnneWaiguru
167,ImmigrationDept
168,weskorir
169,StateHouseKenya
170,AlexChamwada
171,TheStarKenya
172,EugeneLWamalwa
173,JamesOleKiyiapi
174,EdelmanAfrica
175,USEmbassyKenya
176,tomozeus
177,AmbassadorGreen
178,IRIglobal
179,janengoiri
180,JulieGichuru
181,Peter_Kenneth
182,KoinangeJeff
183,ICJKenya
184,thekhrc
185,MwauraIsaac1
186,pongeweb
187,SmritiVidyarthi
188,MarthaKarua
189,MagufuliJP
190,Smadaeb
191,JunetMohamed
192,MartinOloo
193,LeonLidigu
194,HassanOmarH
195,business
196,ahmednasirlaw
197,Railajunior
198,saidilulu
199,JuliusYegoKE
200,POTUS
201,POTUS44
202,robert_muthomi
203,5__t5
204,bobcollymore
205,Sangodala
206,Wetangulam
207,JDMahama
208,EtalePhilip
209,aliiroba
210,JMakamba
211,silasjakakimba
212,DennisKavisu
213,vos_africa
214,gladyswanga
215,calestous
216,zubeidahkananu
217,LinusGitahi
218,stephenasmith
219,MachariaGaitho
220,eriknjoka
221,MediaCouncilK
222,nimrodtaabu
223,SophiaWanuna
224,CarolNderi
225,EricWainaina
226,lwalubengo
227,EricLatiff
228,ikituri
229,Fchurii
230,brendamulinya
231,SallyMbilu
232,watts2k
233,robinnjogu
234,KirigoNgarua
235,robjillo
236,YvonneKhamati
237,Lesuuda
238,Ben_Kitili
239,FerdyOmondi
240,SakajaJohnson
241,iGaddo
242,xyzshow
243,tunajibu
244,jageyo
245,HassanAliJoho
246,AbabuNamwamba
247,Arch_PMO_Kenya
248,ScottProfessor
249,Onyancha
250,Africa2point0
251,DrAlfredMutua
252,catherinemep
253,KResearcher
254,Mukulaa
255,Noshy_b
256,JeddyAhawo
257,kenya_7s
258,miko75011
259,makaumutua
260,Balozi_Odembo
261,Sakaja
262,VinceChepkwony
263,fokango
264,lisabagga
265,bethelOjoo
266,JoeBiden
267,BillGates
268,MichelleObama
269,InstituteGC
270,David_Cameron
271,Ed_Miliband
272,OfficeGSBrown
273,PresidencyZA
274,NelsonMandela
275,anwaribrahim
276,JEAMInstitute
277,jmueke
278,KideroEvans
279,phil_254
280,TheODMparty
281,skmusyoka
282,MasemeMachuka
283,ay1m
284,MikeObare
285,raila4president
286,GitobuImanyara
287,Mzalendo_001
288,Nyamwanda
289,idrisabdirahman
290,GreenBeltMovmnt
291,NOYAENDFGM
292,CampTinga
293,eucopresident
294,chungwamoja
295,ROC_EA
296,IdaOdinga
297,ogutuokudo
298,PaulKagame
299,KenyaRedCross
300,10over10CTV
301,ShattaTikiTaka
302,bernardndongke
303,mann_shalton
304,PurityMwambia
305,YouTubeTrends
