,user,username
0,NTV Kenya ,ntvkenya
1,Uhuru Kenyatta ,UKenyatta
2,Julius Kanyi ,kanyicool
3,Jeff Koinange MBS ,KoinangeJeff
4,Lempuris ,majani_
5,Bob Collymore ,bobcollymore
6,Dr Willy M Mutunga ,WMutunga
7,Larry Madowo ,LarryMadowo
8,Aly-Khan Satchu ,alykhansatchu
9,Erik Hersman ,whiteafrican
10,John-Allan Namu ,johnallannamu
11,Yvonne Okwara ,
12,Robert Alai ,RobertAlai
13,Dennis Itumbi ,OleItumbi
14,Dan Ndambuki aka Churchill ,MwalimChurchill
15,Carol Radull ,CarolRadull
16,Gina Din ,gina_din
17,Peter Nduati ,PeterNduati
18,Bankelele ,bankelele
19,Chris Kirubi ,CKirubi
20,Oliver Mathenge ,OliverMathenge
21,Mark Kaigwa ,MKaigwa
22,Charles Onyango-Obbo ,cobbo3
23,Patricia Kihoro ,Misskihoro
24,Julie Gichuru ,juliegichuru
25,Caroline Mutoko ,CarolineMutoko
26,EKODYDDA ,ekodydda01
27,Juliani ,JulianiKenya
28,Maina Kageni ,ItsMainaKageni
29,RAMpunzZyl ,RamzZy_
30,The Trend Setter ,xtiandela
31,NyaKundiH ,C_NyaKundiH
32,CN ,crazynairobian
33,Masaku ,masaku_
34,Brian Mbunde ,Brianmbunde
35,Comedy Central ,ComedyCentralKE
36,SokoAnalyst ,SokoAnalyst
37,JOEmeson ,JoeWMuchiri
38,Naomi Mutua ,AKenyanGirl
39,Deejay Eynie ,Evabulence
40,Pat Nanyaro ,PatNanyaro
41,Boniface Mwangi ,bonifacemwangi
42,Ng’endo Machua ,Ngendo87
43,Nancie Mwai ,nanciemwai
44,Mutua Matheka ,truthslinger
45,Comrade Mbasu ,itsbuddhablaze
46,Sunny Bindra ,sunnysunwords
47,Laura Walubengo ,lwalubengo
48,Anne Kiguta ,AnneKiguta
49,Teputy Kavanaa ,DavidBurudi
